categoria,objetivo,objetivo_nome,sub_indice,indice_geral,n_objetivos_com_dados
SC,10,Competências em Governo Digital,,48.65,9
RS,1,Governança do Governo Digital,100.0,92.07,9
RS,2,Qualidade dos Serviços Digitais,86.88,92.07,9
RS,3,Identificação Única,100.0,92.07,9
RS,4,Segurança e LGPD,100.0,92.07,9
RS,5,Dados e Interoperabilidade,62.5,92.07,9
RS,6,Infraestrutura,100.0,92.07,9
RS,7,Inovação e Tecnologias Emergentes,100.0,92.07,9
RS,8,Eficiência e Processos,100.0,92.07,9
RS,9,Transparência e Participação,79.28,92.07,9
RS,10,Competências em Governo Digital,,92.07,9
MS,1,Governança do Governo Digital,33.3,76.34,9
MS,2,Qualidade dos Serviços Digitais,83.99,76.34,9
MS,3,Identificação Única,66.65,76.34,9
MS,4,Segurança e LGPD,80.0,76.34,9
MS,5,Dados e Interoperabilidade,33.93,76.34,9
MS,6,Infraestrutura,100.0,76.34,9
MS,7,Inovação e Tecnologias Emergentes,100.0,76.34,9
MS,8,Eficiência e Processos,100.0,76.34,9
MS,9,Transparência e Participação,89.19,76.34,9
MS,10,Competências em Governo Digital,,76.34,9
MT,1,Governança do Governo Digital,100.0,72.25,9
MT,2,Qualidade dos Serviços Digitais,83.21,72.25,9
MT,3,Identificação Única,100.0,72.25,9
MT,4,Segurança e LGPD,20.0,72.25,9
MT,5,Dados e Interoperabilidade,62.5,72.25,9
MT,6,Infraestrutura,50.0,72.25,9
MT,7,Inovação e Tecnologias Emergentes,80.0,72.25,9
MT,8,Eficiência e Processos,100.0,72.25,9
MT,9,Transparência e Participação,54.57,72.25,9
MT,10,Competências em Governo Digital,,72.25,9
GO,1,Governança do Governo Digital,100.0,89.93,9
GO,2,Qualidade dos Serviços Digitais,83.35,89.93,9
GO,3,Identificação Única,100.0,89.93,9
GO,4,Segurança e LGPD,80.0,89.93,9
GO,5,Dados e Interoperabilidade,62.5,89.93,9
GO,6,Infraestrutura,100.0,89.93,9
GO,7,Inovação e Tecnologias Emergentes,100.0,89.93,9
GO,8,Eficiência e Processos,100.0,89.93,9
GO,9,Transparência e Participação,83.54,89.93,9
GO,10,Competências em Governo Digital,,89.93,9
DF,1,Governança do Governo Digital,33.3,56.36,9
DF,2,Qualidade dos Serviços Digitais,61.23,56.36,9
DF,3,Identificação Única,66.65,56.36,9
DF,4,Segurança e LGPD,80.0,56.36,9
DF,5,Dados e Interoperabilidade,12.5,56.36,9
DF,6,Infraestrutura,100.0,56.36,9
DF,7,Inovação e Tecnologias Emergentes,80.0,56.36,9
DF,8,Eficiência e Processos,0.0,56.36,9
DF,9,Transparência e Participação,73.54,56.36,9
DF,10,Competências em Governo Digital,,56.36,9
