categoria,objetivo,objetivo_nome,sub_indice,indice_geral,n_objetivos_com_dados
SP,7,Inovação e Tecnologias Emergentes,,92.85,7
SP,8,Eficiência e Processos,,92.85,7
SP,9,Transparência e Participação,77.78,92.85,7
SP,10,Competências em Governo Digital,,92.85,7
PR,1,Governança do Governo Digital,100.0,95.09,7
PR,2,Qualidade dos Serviços Digitais,100.0,95.09,7
PR,3,Identificação Única,100.0,95.09,7
PR,4,Segurança e LGPD,100.0,95.09,7
PR,5,Dados e Interoperabilidade,100.0,95.09,7
PR,6,Infraestrutura,87.84,95.09,7
PR,7,Inovação e Tecnologias Emergentes,,95.09,7
PR,8,Eficiência e Processos,,95.09,7
PR,9,Transparência e Participação,77.78,95.09,7
PR,10,Competências em Governo Digital,,95.09,7
SC,1,Governança do Governo Digital,100.0,71.91,7
SC,2,Qualidade dos Serviços Digitais,77.33,71.91,7
SC,3,Identificação Única,100.0,71.91,7
SC,4,Segurança e LGPD,80.0,71.91,7
SC,5,Dados e Interoperabilidade,0.0,71.91,7
SC,6,Infraestrutura,57.18,71.91,7
SC,7,Inovação e Tecnologias Emergentes,,71.91,7
SC,8,Eficiência e Processos,,71.91,7
SC,9,Transparência e Participação,88.89,71.91,7
SC,10,Competências em Governo Digital,,71.91,7
RS,1,Governança do Governo Digital,100.0,79.47,7
RS,2,Qualidade dos Serviços Digitais,92.0,79.47,7
RS,3,Identificação Única,0.0,79.47,7
RS,4,Segurança e LGPD,100.0,79.47,7
RS,5,Dados e Interoperabilidade,100.0,79.47,7
RS,6,Infraestrutura,86.54,79.47,7
RS,7,Inovação e Tecnologias Emergentes,,79.47,7
RS,8,Eficiência e Processos,,79.47,7
RS,9,Transparência e Participação,77.78,79.47,7
RS,10,Competências em Governo Digital,,79.47,7
MS,1,Governança do Governo Digital,100.0,81.1,7
MS,2,Qualidade dos Serviços Digitais,74.0,81.1,7
MS,3,Identificação Única,100.0,81.1,7
MS,4,Segurança e LGPD,40.0,81.1,7
MS,5,Dados e Interoperabilidade,100.0,81.1,7
MS,6,Infraestrutura,87.03,81.1,7
MS,7,Inovação e Tecnologias Emergentes,,81.1,7
MS,8,Eficiência e Processos,,81.1,7
MS,9,Transparência e Participação,66.67,81.1,7
MS,10,Competências em Governo Digital,,81.1,7
MT,1,Governança do Governo Digital,100.0,86.37,7
MT,2,Qualidade dos Serviços Digitais,81.33,86.37,7
MT,3,Identificação Única,100.0,86.37,7
MT,4,Segurança e LGPD,80.0,86.37,7
MT,5,Dados e Interoperabilidade,100.0,86.37,7
MT,6,Infraestrutura,76.57,86.37,7
MT,7,Inovação e Tecnologias Emergentes,,86.37,7
MT,8,Eficiência e Processos,,86.37,7
MT,9,Transparência e Participação,66.67,86.37,7
MT,10,Competências em Governo Digital,,86.37,7
GO,1,Governança do Governo Digital,100.0,78.49,7
GO,2,Qualidade dos Serviços Digitais,63.33,78.49,7
GO,3,Identificação Única,100.0,78.49,7
GO,4,Segurança e LGPD,20.0,78.49,7
GO,5,Dados e Interoperabilidade,100.0,78.49,7
GO,6,Infraestrutura,77.2,78.49,7
GO,7,Inovação e Tecnologias Emergentes,,78.49,7
GO,8,Eficiência e Processos,,78.49,7
GO,9,Transparência e Participação,88.89,78.49,7
GO,10,Competências em Governo Digital,,78.49,7
DF,1,Governança do Governo Digital,100.0,95.97,7
DF,2,Qualidade dos Serviços Digitais,96.0,95.97,7
DF,3,Identificação Única,100.0,95.97,7
DF,4,Segurança e LGPD,100.0,95.97,7
DF,5,Dados e Interoperabilidade,100.0,95.97,7
DF,6,Infraestrutura,86.93,95.97,7
DF,7,Inovação e Tecnologias Emergentes,,95.97,7
DF,8,Eficiência e Processos,,95.97,7
DF,9,Transparência e Participação,88.89,95.97,7
DF,10,Competências em Governo Digital,,95.97,7
